GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
0400000US01,01,Alabama,0.4768,0.0053
0400000US02,02,Alaska,0.4241,0.0104
0400000US04,04,Arizona,0.4668,0.0040
0400000US05,05,Arkansas,0.4725,0.0059
0400000US06,06,California,0.4866,0.0017
0400000US08,08,Colorado,0.4553,0.0041
0400000US09,09,Connecticut,0.4943,0.0051
0400000US10,10,Delaware,0.4811,0.0132
0400000US11,11,District of Columbia,0.5281,0.0118
0400000US12,12,Florida,0.4859,0.0029
0400000US13,13,Georgia,0.4830,0.0028
0400000US15,15,Hawaii,0.4455,0.0081
0400000US16,16,Idaho,0.4478,0.0103
0400000US17,17,Illinois,0.4818,0.0028
0400000US18,18,Indiana,0.4497,0.0045
0400000US19,19,Iowa,0.4381,0.0054
0400000US20,20,Kansas,0.4539,0.0064
0400000US21,21,Kentucky,0.4784,0.0051
0400000US22,22,Louisiana,0.4935,0.0047
0400000US23,23,Maine,0.4526,0.0095
0400000US24,24,Maryland,0.4530,0.0038
0400000US25,25,Massachusetts,0.4851,0.0037
0400000US26,26,Michigan,0.4671,0.0029
0400000US27,27,Minnesota,0.4516,0.0034
0400000US28,28,Mississippi,0.4790,0.0067
0400000US29,29,Missouri,0.4618,0.0041
0400000US30,30,Montana,0.4539,0.0101
0400000US31,31,Nebraska,0.4391,0.0065
0400000US32,32,Nevada,0.4606,0.0076
0400000US33,33,New Hampshire,0.4386,0.0076
0400000US34,34,New Jersey,0.4794,0.0032
0400000US35,35,New Mexico,0.4776,0.0069
0400000US36,36,New York,0.5157,0.0031
0400000US37,37,North Carolina,0.4763,0.0032
0400000US38,38,North Dakota,0.4546,0.0105
0400000US39,39,Ohio,0.4642,0.0032
0400000US40,40,Oklahoma,0.4658,0.0040
0400000US41,41,Oregon,0.4593,0.0058
0400000US42,42,Pennsylvania,0.4777,0.0025
0400000US44,44,Rhode Island,0.4722,0.0099
0400000US45,45,South Carolina,0.4795,0.0052
0400000US46,46,South Dakota,0.4488,0.0135
0400000US47,47,Tennessee,0.4822,0.0050
0400000US48,48,Texas,0.4781,0.0020
0400000US49,49,Utah,0.4225,0.0072
0400000US50,50,Vermont,0.4525,0.0108
0400000US51,51,Virginia,0.4674,0.0037
0400000US53,53,Washington,0.4561,0.0039
0400000US54,54,West Virginia,0.4686,0.0069
0400000US55,55,Wisconsin,0.4467,0.0035
0400000US56,56,Wyoming,0.4326,0.0155
