DATE,NYLFN
1976-01-01,7634660
1976-02-01,7623500
1976-03-01,7622827
1976-04-01,7599219
1976-05-01,7561828
1976-06-01,7801015
1976-07-01,7970710
1976-08-01,7895633
1976-09-01,7619197
1976-10-01,7664439
1976-11-01,7667046
1976-12-01,7650657
1977-01-01,7609636
1977-02-01,7636654
1977-03-01,7634503
1977-04-01,7614578
1977-05-01,7638007
1977-06-01,7837489
1977-07-01,7912008
1977-08-01,7897203
1977-09-01,7694521
1977-10-01,7748317
1977-11-01,7786650
1977-12-01,7767079
1978-01-01,7740031
1978-02-01,7714624
1978-03-01,7738750
1978-04-01,7717801
1978-05-01,7739726
1978-06-01,7939500
1978-07-01,8032681
1978-08-01,7998285
1978-09-01,7829288
1978-10-01,7901271
1978-11-01,7911032
1978-12-01,7912031
1979-01-01,7903767
1979-02-01,7922441
1979-03-01,7930751
1979-04-01,7857676
1979-05-01,7851702
1979-06-01,8064319
1979-07-01,8217139
1979-08-01,8167362
1979-09-01,8000510
1979-10-01,8028822
1979-11-01,7999676
1979-12-01,8020585
1980-01-01,7994541
1980-02-01,7972428
1980-03-01,7926943
1980-04-01,7873062
1980-05-01,7895711
1980-06-01,8027317
1980-07-01,8160368
1980-08-01,8092466
1980-09-01,7909543
1980-10-01,7952513
1980-11-01,7954612
1980-12-01,7932750
1981-01-01,7968311
1981-02-01,7983462
1981-03-01,8016736
1981-04-01,8010752
1981-05-01,8039706
1981-06-01,8106176
1981-07-01,8227287
1981-08-01,8156110
1981-09-01,7908961
1981-10-01,7974621
1981-11-01,7956781
1981-12-01,7924488
1982-01-01,7916552
1982-02-01,7909147
1982-03-01,7937147
1982-04-01,7892899
1982-05-01,7964290
1982-06-01,8066850
1982-07-01,8189556
1982-08-01,8132694
1982-09-01,7924000
1982-10-01,7946398
1982-11-01,7943296
1982-12-01,7924735
1983-01-01,7923144
1983-02-01,7916932
1983-03-01,7924981
1983-04-01,7903928
1983-05-01,7922738
1983-06-01,8172545
1983-07-01,8284243
1983-08-01,8266411
1983-09-01,8053332
1983-10-01,8024329
1983-11-01,8040468
1983-12-01,8014725
1984-01-01,7976448
1984-02-01,7998095
1984-03-01,8002896
1984-04-01,7984798
1984-05-01,8049217
1984-06-01,8228924
1984-07-01,8365676
1984-08-01,8277810
1984-09-01,8085030
1984-10-01,8105395
1984-11-01,8085501
1984-12-01,8095032
1985-01-01,8111859
1985-02-01,8104775
1985-03-01,8145761
1985-04-01,8169506
1985-05-01,8233235
1985-06-01,8366991
1985-07-01,8501659
1985-08-01,8457323
1985-09-01,8324913
1985-10-01,8380002
1985-11-01,8362935
1985-12-01,8358326
1986-01-01,8353894
1986-02-01,8365912
1986-03-01,8381238
1986-04-01,8340579
1986-05-01,8380592
1986-06-01,8549435
1986-07-01,8657903
1986-08-01,8583616
1986-09-01,8400540
1986-10-01,8434408
1986-11-01,8421618
1986-12-01,8393860
1987-01-01,8392281
1987-02-01,8387805
1987-03-01,8382062
1987-04-01,8345107
1987-05-01,8426763
1987-06-01,8554592
1987-07-01,8680699
1987-08-01,8650431
1987-09-01,8441621
1987-10-01,8521072
1987-11-01,8515710
1987-12-01,8490123
1988-01-01,8470689
1988-02-01,8447747
1988-03-01,8421680
1988-04-01,8409480
1988-05-01,8434955
1988-06-01,8620963
1988-07-01,8743578
1988-08-01,8713189
1988-09-01,8526512
1988-10-01,8587280
1988-11-01,8599748
1988-12-01,8581893
1989-01-01,8614169
1989-02-01,8591172
1989-03-01,8585206
1989-04-01,8602036
1989-05-01,8636954
1989-06-01,8808131
1989-07-01,8895657
1989-08-01,8839488
1989-09-01,8641303
1989-10-01,8711934
1989-11-01,8741793
1989-12-01,8717846
1990-01-01,8748815
1990-02-01,8764580
1990-03-01,8762377
1990-04-01,8735548
1990-05-01,8793331
1990-06-01,8923912
1990-07-01,9021133
1990-08-01,8938718
1990-09-01,8770758
1990-10-01,8792288
1990-11-01,8758201
1990-12-01,8749583
1991-01-01,8691713
1991-02-01,8714020
1991-03-01,8722745
1991-04-01,8722257
1991-05-01,8723011
1991-06-01,8879873
1991-07-01,8937220
1991-08-01,8830712
1991-09-01,8683785
1991-10-01,8689260
1991-11-01,8654435
1991-12-01,8644163
1992-01-01,8664426
1992-02-01,8676278
1992-03-01,8674332
1992-04-01,8650986
1992-05-01,8699547
1992-06-01,8890109
1992-07-01,8989414
1992-08-01,8907035
1992-09-01,8729124
1992-10-01,8703153
1992-11-01,8714878
1992-12-01,8715529
1993-01-01,8679956
1993-02-01,8694901
1993-03-01,8660192
1993-04-01,8601622
1993-05-01,8678761
1993-06-01,8836349
1993-07-01,8918820
1993-08-01,8846606
1993-09-01,8639906
1993-10-01,8683883
1993-11-01,8673157
1993-12-01,8672950
