Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov
63,Alabama,Total,"1,722","1,808,807","183,338","202,789",10.1,11.2
63,Alabama,Private,"1,388","1,463,322","83,562","91,171",5.7,6.2
63,Alabama,Public,334,"345,485","99,776","111,617",28.9,32.3
63,Alabama,Priv. Construction,92,"100,593","4,785","4,785",4.8,4.8
63,Alabama,Priv. Manufacturing,236,"245,221","31,989","35,585",13,14.5
94,Alaska,Total,"2,247","295,063","67,624","73,043",22.9,24.8
94,Alaska,Private,"1,633","216,858","24,313","27,049",11.2,12.5
94,Alaska,Public,614,"78,205","43,311","45,994",55.4,58.8
94,Alaska,Priv. Construction,125,"17,440","3,731","3,872",21.4,22.2
94,Alaska,Priv. Manufacturing,55,"7,349",207,207,2.8,2.8
86,Arizona,Total,"1,860","2,506,723","160,989","202,952",6.4,8.1
86,Arizona,Private,"1,527","2,065,530","73,929","86,349",3.6,4.2
86,Arizona,Public,333,"441,192","87,060","116,603",19.7,26.4
86,Arizona,Priv. Construction,116,"163,760","8,713","10,298",5.3,6.3
86,Arizona,Priv. Manufacturing,152,"210,208","4,119","4,119",2,2
71,Arkansas,Total,"1,609","1,081,711","43,635","58,569",4,5.4
71,Arkansas,Private,"1,330","896,547","24,083","32,763",2.7,3.7
71,Arkansas,Public,279,"185,164","19,552","25,806",10.6,13.9
71,Arkansas,Priv. Construction,73,"47,617","2,936","2,936",6.2,6.2
71,Arkansas,Priv. Manufacturing,232,"157,392","9,369","11,442",6,7.3
93,California,Total,"13,254","13,891,632","2,431,276","2,577,781",17.5,18.6
93,California,Private,"10,922","11,485,816","1,068,723","1,144,949",9.3,10
93,California,Public,"2,332","2,405,816","1,362,553","1,432,833",56.6,59.6
93,California,Priv. Construction,643,"707,158","110,716","116,498",15.7,16.5
93,California,Priv. Manufacturing,"1,390","1,449,582","122,164","132,282",8.4,9.1
84,Colorado,Total,"3,684","2,130,393","140,378","170,935",6.6,8
84,Colorado,Private,"3,111","1,804,693","69,393","87,117",3.8,4.8
84,Colorado,Public,573,"325,700","70,985","83,818",21.8,25.7
84,Colorado,Priv. Construction,200,"119,190","6,388","7,661",5.4,6.4
84,Colorado,Priv. Manufacturing,299,"174,007","8,904","10,598",5.1,6.1
16,Connecticut,Total,"4,075","1,548,906","258,266","269,737",16.7,17.4
16,Connecticut,Private,"3,456","1,318,304","109,851","116,608",8.3,8.8
16,Connecticut,Public,619,"230,602","148,415","153,129",64.4,66.4
16,Connecticut,Priv. Construction,151,"57,409","9,952","9,952",17.3,17.3
16,Connecticut,Priv. Manufacturing,488,"184,915","20,877","21,277",11.3,11.5
51,Delaware,Total,"2,562","352,227","40,229","43,916",11.4,12.5
51,Delaware,Private,"2,122","292,509","17,008","18,692",5.8,6.4
51,Delaware,Public,440,"59,718","23,221","25,224",38.9,42.2
51,Delaware,Priv. Construction,141,"19,448","2,015","2,015",10.4,10.4
51,Delaware,Priv. Manufacturing,253,"34,512","2,914","3,176",8.4,9.2
53,D.C.,Total,"2,525","287,362","25,858","30,036",9,10.5
53,D.C.,Private,"1,800","205,865","12,249","13,791",5.9,6.7
53,D.C.,Public,725,"81,497","13,609","16,245",16.7,19.9
53,D.C.,Priv. Construction,45,"5,202",0,0,0,0
53,D.C.,Priv. Manufacturing,27,"3,038",0,0,0,0
59,Florida,Total,"6,051","7,033,457","391,750","488,041",5.6,6.9
59,Florida,Private,"5,108","5,952,140","139,305","187,389",2.3,3.1
59,Florida,Public,943,"1,081,317","252,445","300,652",23.3,27.8
59,Florida,Priv. Construction,306,"372,863","9,509","10,752",2.6,2.9
59,Florida,Priv. Manufacturing,346,"406,917","10,095","13,478",2.5,3.3
58,Georgia,Total,"3,471","3,792,128","153,309","191,330",4,5
58,Georgia,Private,"2,847","3,126,093","79,557","94,424",2.5,3
58,Georgia,Public,624,"666,034","73,752","96,906",11.1,14.5
58,Georgia,Priv. Construction,182,"205,359","8,617","8,617",4.2,4.2
58,Georgia,Priv. Manufacturing,341,"373,237","12,703","14,690",3.4,3.9
95,Hawaii,Total,"2,577","511,431","111,344","120,341",21.8,23.5
95,Hawaii,Private,"2,063","408,102","59,476","66,475",14.6,16.3
95,Hawaii,Public,514,"103,330","51,868","53,866",50.2,52.1
95,Hawaii,Priv. Construction,147,"30,660","10,549","11,383",34.4,37.1
95,Hawaii,Priv. Manufacturing,57,"11,724","1,563","2,192",13.3,18.7
82,Idaho,Total,"1,682","583,830","41,513","50,063",7.1,8.6
82,Idaho,Private,"1,348","471,511","17,104","20,410",3.6,4.3
82,Idaho,Public,334,"112,318","24,409","29,653",21.7,26.4
82,Idaho,Priv. Construction,81,"29,914","2,413","2,413",8.1,8.1
82,Idaho,Priv. Manufacturing,171,"57,661","3,581","3,928",6.2,6.8
33,Illinois,Total,"5,301","5,434,237","843,807","891,203",15.5,16.4
33,Illinois,Private,"4,506","4,631,488","441,049","469,197",9.5,10.1
33,Illinois,Public,795,"802,749","402,758","422,006",50.2,52.6
33,Illinois,Priv. Construction,186,"188,949","65,130","65,886",34.5,34.9
33,Illinois,Priv. Manufacturing,660,"679,883","81,821","86,859",12,12.8
32,Indiana,Total,"2,525","2,553,550","278,577","312,798",10.9,12.2
32,Indiana,Private,"2,148","2,180,533","178,779","193,114",8.2,8.9
32,Indiana,Public,377,"373,017","99,798","119,684",26.8,32.1
32,Indiana,Priv. Construction,109,"114,340","32,196","32,196",28.2,28.2
32,Indiana,Priv. Manufacturing,476,"480,026","83,988","87,648",17.5,18.3
42,Iowa,Total,"3,500","1,392,729","158,157","191,811",11.4,13.8
42,Iowa,Private,"2,873","1,144,398","80,948","90,414",7.1,7.9
42,Iowa,Public,627,"248,331","77,210","101,397",31.1,40.8
42,Iowa,Priv. Construction,168,"66,834","9,667","11,463",14.5,17.2
42,Iowa,Priv. Manufacturing,555,"219,536","39,482","42,804",18,19.5
47,Kansas,Total,"2,475","1,221,559","83,673","111,005",6.8,9.1
47,Kansas,Private,"1,964","975,392","44,219","56,890",4.5,5.8
47,Kansas,Public,511,"246,166","39,454","54,115",16,22
47,Kansas,Priv. Construction,106,"54,297","5,577","6,317",10.3,11.6
47,Kansas,Priv. Manufacturing,321,"157,662","19,663","25,635",12.5,16.3
61,Kentucky,Total,"2,274","1,641,655","146,526","166,109",8.9,10.1
61,Kentucky,Private,"1,895","1,376,800","98,548","109,546",7.2,8
61,Kentucky,Public,379,"264,855","47,978","56,563",18.1,21.4
61,Kentucky,Priv. Construction,103,"79,126","12,423","12,423",15.7,15.7
61,Kentucky,Priv. Manufacturing,299,"216,576","27,997","28,862",12.9,13.3
72,Louisiana,Total,"1,495","1,742,418","75,612","96,009",4.3,5.5
72,Louisiana,Private,"1,207","1,419,772","45,497","58,235",3.2,4.1
72,Louisiana,Public,288,"322,647","30,115","37,773",9.3,11.7
