State Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov
63,Alabama,Total,"3,063","1,868,005","137,776","151,727",7.4,8.1
63,Alabama,Private,"2,553","1,568,284","71,061","77,732",4.5,5
63,Alabama,Public,510,"299,721","66,715","73,995",22.3,24.7
63,Alabama,Priv. Construction,178,"112,835","7,954","10,296",7,9.1
63,Alabama,Priv. Manufacturing,470,"290,350","16,284","16,284",5.6,5.6
94,Alaska,Total,"1,923","304,027","54,960","58,977",18.1,19.4
94,Alaska,Private,"1,398","222,488","19,435","20,590",8.7,9.3
94,Alaska,Public,525,"81,539","35,526","38,387",43.6,47.1
94,Alaska,Priv. Construction,101,"16,584","3,882","3,882",23.4,23.4
94,Alaska,Priv. Manufacturing,44,"6,737",0,0,0,0
86,Arizona,Total,"2,340","2,804,949","111,840","145,794",4,5.2
86,Arizona,Private,"2,002","2,403,867","44,232","59,458",1.8,2.5
86,Arizona,Public,338,"401,082","67,609","86,336",16.9,21.5
86,Arizona,Priv. Construction,134,"163,853","1,921","3,067",1.2,1.9
86,Arizona,Priv. Manufacturing,147,"176,397","2,358","2,358",1.3,1.3
71,Arkansas,Total,"2,908","1,207,917","61,734","74,410",5.1,6.2
71,Arkansas,Private,"2,401","995,989","39,168","47,427",3.9,4.8
71,Arkansas,Public,507,"211,928","22,565","26,983",10.6,12.7
71,Arkansas,Priv. Construction,151,"60,846","1,523","1,523",2.5,2.5
71,Arkansas,Priv. Manufacturing,375,"153,014","11,565","13,346",7.6,8.7
93,California,Total,"13,552","16,063,818","2,489,184","2,704,649",15.5,16.8
93,California,Private,"11,403","13,574,342","1,121,217","1,253,288",8.3,9.2
93,California,Public,"2,149","2,489,477","1,367,968","1,451,361",55,58.3
93,California,Priv. Construction,732,"882,269","157,805","166,787",17.9,18.9
93,California,Priv. Manufacturing,"1,335","1,588,283","99,210","110,169",6.2,6.9
84,Colorado,Total,"2,113","2,500,952","238,340","273,097",9.5,10.9
84,Colorado,Private,"1,740","2,078,723","146,737","163,697",7.1,7.9
84,Colorado,Public,373,"422,229","91,603","109,400",21.7,25.9
84,Colorado,Priv. Construction,131,"165,092","17,568","17,568",10.6,10.6
84,Colorado,Priv. Manufacturing,134,"159,032","18,138","20,268",11.4,12.7
16,Connecticut,Total,"1,747","1,645,268","278,874","295,690",17,18
16,Connecticut,Private,"1,463","1,387,105","107,911","123,548",7.8,8.9
16,Connecticut,Public,284,"258,163","170,963","172,142",66.2,66.7
16,Connecticut,Priv. Construction,88,"81,888","11,807","11,807",14.4,14.4
16,Connecticut,Priv. Manufacturing,205,"192,201","24,848","24,848",12.9,12.9
51,Delaware,Total,"1,761","421,340","45,457","47,729",10.8,11.3
51,Delaware,Private,"1,514","364,293","22,302","23,920",6.1,6.6
51,Delaware,Public,247,"57,047","23,155","23,809",40.6,41.7
51,Delaware,Priv. Construction,123,"29,391","4,385","4,617",14.9,15.7
51,Delaware,Priv. Manufacturing,149,"34,387","3,732","4,383",10.9,12.7
53,D.C.,Total,"3,167","346,512","33,705","39,710",9.7,11.5
53,D.C.,Private,"2,348","258,792","13,603","17,468",5.3,6.7
53,D.C.,Public,819,"87,720","20,102","22,242",22.9,25.4
53,D.C.,Priv. Construction,82,"9,160","1,022","1,022",11.2,11.2
53,D.C.,Priv. Manufacturing,39,"4,516",124,231,2.8,5.1
59,Florida,Total,"6,872","8,571,999","479,315","568,155",5.6,6.6
59,Florida,Private,"5,991","7,485,264","202,728","257,093",2.7,3.4
59,Florida,Public,881,"1,086,735","276,588","311,062",25.5,28.6
59,Florida,Priv. Construction,417,"527,456","26,512","27,797",5,5.3
59,Florida,Priv. Manufacturing,381,"467,373","10,154","14,144",2.2,3
58,Georgia,Total,"3,665","4,339,237","172,589","216,958",4,5
58,Georgia,Private,"3,059","3,637,939","89,798","116,508",2.5,3.2
58,Georgia,Public,606,"701,298","82,792","100,450",11.8,14.3
58,Georgia,Priv. Construction,195,"245,905","14,427","14,427",5.9,5.9
58,Georgia,Priv. Manufacturing,396,"462,651","17,198","21,347",3.7,4.6
95,Hawaii,Total,"2,495","604,843","128,896","138,494",21.3,22.9
95,Hawaii,Private,"1,992","486,553","73,734","78,452",15.2,16.1
95,Hawaii,Public,503,"118,290","55,162","60,042",46.6,50.8
95,Hawaii,Priv. Construction,178,"44,629","15,887","16,133",35.6,36.1
95,Hawaii,Priv. Manufacturing,59,"15,193","1,059","1,515",7,10
82,Idaho,Total,"2,635","722,904","34,759","41,699",4.8,5.8
82,Idaho,Private,"2,236","613,596","19,120","22,436",3.1,3.7
82,Idaho,Public,399,"109,308","15,639","19,262",14.3,17.6
82,Idaho,Priv. Construction,157,"43,778","2,386","3,048",5.5,7
82,Idaho,Priv. Manufacturing,320,"88,187","5,996","6,673",6.8,7.6
33,Illinois,Total,"4,802","5,521,282","828,066","873,110",15,15.8
33,Illinois,Private,"4,175","4,818,495","469,997","502,279",9.8,10.4
33,Illinois,Public,627,"702,787","358,069","370,831",50.9,52.8
33,Illinois,Priv. Construction,185,"213,385","87,522","88,382",41,41.4
33,Illinois,Priv. Manufacturing,638,"735,676","73,925","84,650",10,11.5
32,Indiana,Total,"2,879","2,988,239","266,163","288,808",8.9,9.7
32,Indiana,Private,"2,543","2,648,156","171,849","189,559",6.5,7.2
32,Indiana,Public,336,"340,084","94,314","99,249",27.7,29.2
32,Indiana,Priv. Construction,131,"134,487","21,754","25,507",16.2,19
32,Indiana,Priv. Manufacturing,562,"575,071","77,525","84,357",13.5,14.7
42,Iowa,Total,"2,041","1,474,981","103,556","127,124",7,8.6
42,Iowa,Private,"1,694","1,224,418","49,869","55,917",4.1,4.6
42,Iowa,Public,347,"250,563","53,687","71,207",21.4,28.4
42,Iowa,Priv. Construction,105,"77,005","12,358","12,358",16,16
42,Iowa,Priv. Manufacturing,293,"212,069","19,696","21,279",9.3,10
47,Kansas,Total,"2,153","1,296,301","100,820","130,939",7.8,10.1
47,Kansas,Private,"1,782","1,080,663","62,331","76,134",5.8,7
47,Kansas,Public,371,"215,638","38,489","54,805",17.8,25.4
47,Kansas,Priv. Construction,121,"76,455","10,822","11,375",14.2,14.9
47,Kansas,Priv. Manufacturing,321,"193,809","23,769","33,654",12.3,17.4
61,Kentucky,Total,"2,014","1,808,833","175,081","232,950",9.7,12.9
61,Kentucky,Private,"1,700","1,535,894","123,227","162,476",8,10.6
61,Kentucky,Public,314,"272,939","51,854","70,473",19,25.8
61,Kentucky,Priv. Construction,114,"104,199","17,429","19,953",16.7,19.1
61,Kentucky,Priv. Manufacturing,264,"239,597","32,117","40,571",13.4,16.9
72,Louisiana,Total,"3,383","1,780,038","77,910","96,109",4.4,5.4
72,Louisiana,Private,"2,807","1,487,014","42,336","53,457",2.8,3.6
72,Louisiana,Public,576,"293,023","35,574","42,652",12.1,14.6
72,Louisiana,Priv. Construction,251,"137,486","6,853","7,295",5,5.3
72,Louisiana,Priv. Manufacturing,248,"133,474","8,795","11,709",6.6,8.8
11,Maine,Total,"1,422","576,939","65,680","81,001",11.4,14
11,Maine,Private,"1,208","492,567","25,043","29,355",5.1,6
11,Maine,Public,214,"84,372","40,637","51,646",48.2,61.2
11,Maine,Priv. Construction,66,"28,457",0,0,0,0
11,Maine,Priv. Manufacturing,129,"50,939","7,999","8,485",15.7,16.7
52,Maryland,Total,"2,239","2,768,871","297,633","324,411",10.7,11.7
52,Maryland,Private,"1,669","2,074,909","102,605","111,902",4.9,5.4
52,Maryland,Public,570,"693,962","195,029","212,509",28.1,30.6
52,Maryland,Priv. Construction,134,"167,247","15,864","16,772",9.5,10
52,Maryland,Priv. Manufacturing,71,"84,523","12,348","12,348",14.6,14.6
14,Massachusetts,Total,"3,798","3,232,932","400,409","430,986",12.4,13.3
14,Massachusetts,Private,"3,292","2,801,253","165,124","187,833",5.9,6.7
14,Massachusetts,Public,506,"431,679","235,285","243,153",54.5,56.3
14,Massachusetts,Priv. Construction,189,"160,807","27,020","27,020",16.8,16.8
14,Massachusetts,Priv. Manufacturing,351,"291,338","18,431","25,050",6.3,8.6
34,Michigan,Total,"3,700","4,230,158","659,285","711,533",15.6,16.8
34,Michigan,Private,"3,240","3,716,433","419,603","444,726",11.3,12
34,Michigan,Public,460,"513,725","239,682","266,807",46.7,51.9
34,Michigan,Priv. Construction,156,"177,380","46,009","46,009",25.9,25.9
34,Michigan,Priv. Manufacturing,731,"832,487","149,342","156,861",17.9,18.8
41,Minnesota,Total,"2,393","2,695,548","410,578","427,965",15.2,15.9
41,Minnesota,Private,"2,068","2,335,143","215,990","231,508",9.2,9.9
41,Minnesota,Public,325,"360,405","194,589","196,457",54,54.5
41,Minnesota,Priv. Construction,130,"150,582","47,667","47,667",31.7,31.7
41,Minnesota,Priv. Manufacturing,357,"398,793","49,246","51,504",12.3,12.9
64,Mississippi,Total,"2,720","1,108,613","59,031","77,224",5.3,7
64,Mississippi,Private,"2,188","895,086","31,225","42,589",3.5,4.8
64,Mississippi,Public,532,"213,527","27,806","34,636",13,16.2
64,Mississippi,Priv. Construction,122,"50,447","1,183","1,183",2.3,2.3
64,Mississippi,Priv. Manufacturing,377,"151,951","15,954","20,976",10.5,13.8
43,Missouri,Total,"2,404","2,618,301","226,136","264,840",8.6,10.1
43,Missouri,Private,"2,058","2,247,743","169,471","185,242",7.5,8.2
43,Missouri,Public,346,"370,558","56,665","79,598",15.3,21.5
43,Missouri,Priv. Construction,164,"178,571","58,549","58,549",32.8,32.8
43,Missouri,Priv. Manufacturing,280,"298,716","44,360","47,416",14.9,15.9
81,Montana,Total,"3,009","419,486","49,679","57,057",11.8,13.6
81,Montana,Private,"2,343","329,793","19,183","22,321",5.8,6.8
81,Montana,Public,666,"89,693","30,496","34,737",34,38.7
81,Montana,Priv. Construction,181,"25,970","3,358","3,905",12.9,15
81,Montana,Priv. Manufacturing,155,"22,000","2,824","3,193",12.8,14.5
46,Nebraska,Total,"2,168","859,328","70,021","77,818",8.1,9.1
46,Nebraska,Private,"1,828","726,925","32,082","34,196",4.4,4.7
46,Nebraska,Public,340,"132,403","37,939","43,622",28.7,32.9
46,Nebraska,Priv. Construction,114,"47,459","3,346","3,774",7,8
46,Nebraska,Priv. Manufacturing,269,"106,063","12,910","12,910",12.2,12.2
88,Nevada,Total,"2,099","1,290,685","164,287","188,602",12.7,14.6
88,Nevada,Private,"1,830","1,128,158","109,550","119,141",9.7,10.6
88,Nevada,Public,269,"162,527","54,736","69,460",33.7,42.7
88,Nevada,Priv. Construction,153,"97,679","16,961","16,961",17.4,17.4
88,Nevada,Priv. Manufacturing,99,"60,416","4,112","4,112",6.8,6.8
12,New Hampshire,Total,"2,428","642,225","72,218","83,309",11.2,13
12,New Hampshire,Private,"2,052","544,387","25,180","27,649",4.6,5.1
12,New Hampshire,Public,376,"97,838","47,038","55,660",48.1,56.9
12,New Hampshire,Priv. Construction,120,"32,980","4,044","4,044",12.3,12.3
12,New Hampshire,Priv. Manufacturing,344,"89,414","3,001","3,437",3.4,3.8
22,New Jersey,Total,"3,371","3,897,617","628,734","664,248",16.1,17
22,New Jersey,Private,"2,868","3,323,583","287,194","305,734",8.6,9.2
22,New Jersey,Public,503,"574,034","341,540","358,513",59.5,62.5
22,New Jersey,Priv. Construction,156,"175,906","52,404","52,404",29.8,29.8
22,New Jersey,Priv. Manufacturing,262,"300,258","17,533","18,567",5.8,6.2
85,New Mexico,Total,"2,582","769,281","51,625","63,313",6.7,8.2
85,New Mexico,Private,"1,947","584,325","20,938","26,167",3.6,4.5
85,New Mexico,Public,635,"184,956","30,687","37,146",16.6,20.1
85,New Mexico,Priv. Construction,169,"52,152","3,089","3,597",5.9,6.9
85,New Mexico,Priv. Manufacturing,123,"36,444","1,535","1,535",4.2,4.2
21,New York,Total,"6,745","8,478,589","2,016,437","2,147,227",23.8,25.3
21,New York,Private,"5,579","7,054,620","1,056,613","1,142,102",15,16.2
21,New York,Public,"1,166","1,423,970","959,823","1,005,125",67.4,70.6
21,New York,Priv. Construction,346,"455,890","111,196","119,677",24.4,26.3
21,New York,Priv. Manufacturing,461,"562,959","68,785","72,337",12.2,12.8
56,North Carolina,Total,"3,664","4,302,258","144,232","170,931",3.4,4
56,North Carolina,Private,"3,135","3,689,629","86,683","98,900",2.3,2.7
56,North Carolina,Public,529,"612,628","57,549","72,031",9.4,11.8
56,North Carolina,Priv. Construction,236,"286,018","2,328","3,330",0.8,1.2
56,North Carolina,Priv. Manufacturing,491,"575,547","12,626","14,987",2.2,2.6
44,North Dakota,Total,"2,656","356,248","18,002","24,158",5.1,6.8
44,North Dakota,Private,"2,226","300,765","8,993","13,316",3,4.4
44,North Dakota,Public,430,"55,483","9,009","10,842",16.2,19.5
44,North Dakota,Priv. Construction,164,"22,280","1,340","1,604",6,7.2
44,North Dakota,Priv. Manufacturing,198,"27,157","1,734","2,448",6.4,9
31,Ohio,Total,"4,368","5,067,870","634,474","688,023",12.5,13.6
31,Ohio,Private,"3,776","4,393,604","345,100","382,643",7.9,8.7
31,Ohio,Public,592,"674,266","289,374","305,380",42.9,45.3
31,Ohio,Priv. Construction,207,"244,352","54,605","57,024",22.3,23.3
31,Ohio,Priv. Manufacturing,687,"784,517","97,421","102,818",12.4,13.1
73,Oklahoma,Total,"2,271","1,534,322","84,166","108,489",5.5,7.1
73,Oklahoma,Private,"1,844","1,257,098","44,042","53,710",3.5,4.3
73,Oklahoma,Public,427,"277,224","40,124","54,779",14.5,19.8
73,Oklahoma,Priv. Construction,125,"89,033","6,135","6,135",6.9,6.9
73,Oklahoma,Priv. Manufacturing,198,"134,631","8,764","9,233",6.5,6.9
92,Oregon,Total,"2,414","1,761,898","262,326","277,230",14.9,15.7
92,Oregon,Private,"2,051","1,502,478","124,697","132,759",8.3,8.8
92,Oregon,Public,363,"259,420","137,628","144,471",53.1,55.7
92,Oregon,Priv. Construction,106,"77,673","14,774","15,542",19,20
92,Oregon,Priv. Manufacturing,307,"224,399","18,647","21,187",8.3,9.4
23,Pennsylvania,Total,"4,617","5,538,669","664,702","722,369",12,13
23,Pennsylvania,Private,"4,107","4,941,820","367,288","392,018",7.4,7.9
